Name,Winrate,Sample_size
Lee Sin,48.49,73781
Jarvan IV,52.57,52201
Kayn,49.99,44118
Kha'Zix,51.63,41707
Ekko,50.83,39384
Graves,49.24,38140
Viego,47.99,35788
Xin Zhao,51.95,25795
Shaco,50.63,25252
Nidalee,49.23,24527
Master Yi,49.73,22064
Zac,50.97,19050
Lillia,51.23,19020
Evelynn,50.39,18671
Fiddlesticks,51.57,18170
Kindred,50.75,17928
Nocturne,52.3,16903
Hecarim,49.64,14805
Nunu & Willump,51.77,14498
Trundle,51.59,13846
Elise,49.42,13039
Warwick,50.51,11007
Rengar,47.87,10832
Taliyah,50.62,10783
Karthus,49.82,10188
Vi,51.08,9923
Rek'Sai,50.67,9756
Shyvana,50.73,9491
Rammus,49.95,8518
Gragas,48.11,8259
Volibear,48.93,7442
Olaf,50.33,7100
Sejuani,49.92,6871
Ivern,50.03,5020
Udyr,49.02,4130
